path,label,seriesuid
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.306140003699110313373771452136_363616_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.306140003699110313373771452136
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405_3223_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.211071908915618528829547301883_204661_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.211071908915618528829547301883
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.334166493392278943610545989413_410364_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.334166493392278943610545989413
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.242624386080831911167122628616_260120_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.242624386080831911167122628616
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671_193496_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.203741923654363010377298352671
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729_219348_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.224465398054769500989828256685_228268_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.224465398054769500989828256685
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231_319508_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.170921541362033046216100409521_126438_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.170921541362033046216100409521
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.129982010889624423230394257528_55921_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.129982010889624423230394257528
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.207341668080525761926965850679_200478_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.207341668080525761926965850679
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.183184435049555024219115904825_152525_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.183184435049555024219115904825
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.141430002307216644912805017227_78267_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.141430002307216644912805017227
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.238855414831158993232534884296_254208_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.238855414831158993232534884296
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450_108169_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.230078008964732806419498631442_240597_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.230078008964732806419498631442
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.362762275895885013176610377950_425972_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.362762275895885013176610377950
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.192419869605596446455526220766_169952_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.192419869605596446455526220766
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.238855414831158993232534884296_254702_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.238855414831158993232534884296
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.121805476976020513950614465787_36429_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.121805476976020513950614465787
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.171667800241622018839592854574_127318_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.171667800241622018839592854574
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.244204120220889433826451158706_261940_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.244204120220889433826451158706
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.208511362832825683639135205368_200732_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.208511362832825683639135205368
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.299806338046301317870803017534_350065_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.299806338046301317870803017534
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.200513183558872708878454294671_183707_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.200513183558872708878454294671
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.129650136453746261130135157590_54938_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.129650136453746261130135157590
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.240630002689062442926543993263_255957_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.240630002689062442926543993263
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.227707494413800460340110762069_234040_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.227707494413800460340110762069
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709_213716_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.233001470265230594739708503198_246776_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.233001470265230594739708503198
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.187966156856911682643615997798_160885_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.187966156856911682643615997798
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.100620385482151095585000946543_2751_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.100620385482151095585000946543
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.248425363469507808613979846863_271379_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.248425363469507808613979846863
